province_id,state_id,impassable_state,batch_index
2,248,no,0
3,879,no,0
6,397,no,0
7,929,no,0
8,263,no,0
10,920,no,0
11,918,no,0
12,252,no,0
14,110,no,0
15,213,no,0
17,86,no,0
18,879,no,0
21,143,no,0
22,925,no,0
23,351,no,0
26,879,no,0
27,920,no,0
30,148,no,0
31,400,no,0
32,926,no,0
35,141,no,0
36,215,no,0
37,930,no,0
38,144,no,0
39,264,no,0
40,216,no,0
44,924,no,0
45,400,no,0
46,917,no,0
49,38,no,0
52,928,no,0
53,142,no,0
57,264,no,0
58,666,no,0
60,351,no,0
61,666,no,0
62,248,no,0
63,149,no,0
64,925,no,0
65,142,no,0
66,149,no,0
67,927,no,0
68,7,no,0
69,919,no,0
70,244,no,0
71,263,no,0
72,879,no,0
73,400,no,0
74,213,no,0
75,351,no,0
76,925,no,0
77,916,no,0
78,1011,no,0
79,195,no,0
80,215,no,0
81,351,no,0
82,929,no,0
83,13,no,0
84,351,no,0
85,247,no,0
86,215,no,0
87,880,no,0
88,400,no,0
89,879,no,0
90,216,no,0
91,924,no,0
92,216,no,0
93,264,no,0
94,215,no,0
95,209,no,0
96,824,no,0
97,248,no,0
98,213,no,0
99,397,no,0
100,921,no,0
101,666,no,0
102,142,no,0
103,148,no,0
104,208,no,0
105,825,no,0
106,351,no,0
107,143,no,0
108,397,no,0
109,918,no,0
110,263,no,0
111,920,no,0
112,400,no,0
113,917,no,0
114,916,no,0
115,143,no,0
116,213,no,0
117,263,no,0
118,918,no,0
119,400,no,0
120,929,no,0
121,248,no,0
122,142,no,0
123,398,no,0
124,148,no,0
125,38,no,0
126,208,no,0
127,879,no,0
128,925,no,0
129,351,no,0
130,38,no,0
131,120,no,0
132,929,no,0
133,920,no,0
134,215,no,0
135,351,no,0
136,150,no,0
137,142,no,0
138,879,no,0
139,928,no,0
140,214,no,0
141,150,no,0
142,213,no,0
143,351,no,0
144,920,no,0
145,918,no,0
146,400,no,0
147,919,no,0
148,666,no,0
149,195,no,0
150,247,no,0
151,666,no,0
152,264,no,0
153,695,no,0
154,262,no,0
155,215,no,0
156,916,no,0
157,215,no,0
158,929,no,0
159,121,no,0
160,351,no,0
161,141,no,0
162,148,no,0
163,351,no,0
164,248,no,0
165,930,no,0
166,351,no,0
167,148,no,0
168,917,no,0
169,926,no,0
170,215,no,0
171,915,no,0
172,264,no,0
173,923,no,0
174,351,no,0
175,400,no,0
176,215,no,0
177,694,no,0
178,213,no,0
179,920,no,0
180,214,no,0
181,208,no,0
182,918,no,0
183,880,no,0
184,918,no,0
185,811,no,0
186,397,no,0
187,246,no,0
188,142,no,0
189,398,no,0
190,666,no,0
191,889,no,0
192,144,no,0
193,150,no,0
194,264,no,0
195,929,no,0
196,351,no,0
197,147,no,0
198,825,no,0
199,142,no,0
200,136,no,0
201,666,no,0
202,916,no,0
203,148,no,0
204,111,no,0
205,38,no,0
206,398,no,0
207,210,no,0
208,255,no,0
211,139,no,0
212,223,no,0
214,253,no,0
215,194,no,0
216,206,no,0
219,931,no,0
221,125,no,0
222,810,no,0
223,243,no,0
226,246,no,0
227,652,no,0
228,249,no,0
231,248,no,0
232,257,no,0
233,96,no,0
236,243,no,0
237,573,no,0
238,193,no,0
241,56,no,0
242,139,no,0
243,807,no,0
246,205,no,0
247,56,no,0
248,210,no,0
252,248,no,0
253,122,no,0
256,252,no,0
257,255,no,0
260,249,no,0
261,223,no,0
265,809,no,0
266,5,no,0
268,61,no,0
269,254,no,0
270,252,no,0
271,125,no,0
272,400,no,0
273,651,no,0
274,205,no,0
275,257,no,0
276,119,no,0
277,96,no,0
278,573,no,0
279,807,no,0
280,253,no,0
281,763,no,0
282,833,no,0
283,254,no,0
284,120,no,0
285,113,no,0
286,250,no,0
287,246,no,0
288,224,no,0
289,241,no,0
290,97,no,0
291,651,no,0
292,249,no,0
293,61,no,0
294,206,no,0
295,140,no,0
296,125,no,0
297,252,no,0
298,251,no,0
299,139,no,0
300,223,no,0
301,219,no,0
302,222,no,0
303,113,no,1
304,204,no,1
305,399,no,1
306,242,no,1
307,653,no,1
308,13,no,1
309,56,no,1
310,810,no,1
311,122,no,1
312,214,no,1
313,257,no,1
314,254,no,1
315,224,no,1
316,99,no,1
317,909,no,1
318,95,no,1
319,810,no,1
320,263,no,1
321,61,no,1
322,125,no,1
323,207,no,1
324,255,no,1
325,833,no,1
326,239,no,1
327,11,no,1
328,222,no,1
329,139,no,1
330,254,no,1
331,204,no,1
332,912,no,1
333,246,no,1
334,807,no,1
335,242,no,1
336,56,no,1
337,134,no,1
338,251,no,1
339,251,no,1
340,257,no,1
341,810,no,1
342,206,no,1
343,224,no,1
344,247,no,1
345,250,no,1
346,253,no,1
347,97,no,1
348,763,no,1
349,62,no,1
350,219,no,1
351,131,no,1
352,205,no,1
353,239,no,1
354,210,no,1
355,249,no,1
356,258,no,1
357,253,no,1
358,96,no,1
359,400,no,1
360,204,no,1
361,573,no,1
362,85,no,1
363,139,no,1
364,129,no,1
365,251,no,1
366,219,no,1
367,257,no,1
368,252,no,1
369,113,no,1
370,399,no,1
371,224,no,1
372,249,no,1
373,730,no,1
374,59,no,1
375,64,no,1
376,255,no,1
377,122,no,1
378,253,no,1
379,692,no,1
380,255,no,1
381,399,no,1
382,205,no,1
383,140,no,1
384,222,no,1
385,119,no,1
386,204,no,1
387,210,no,1
388,86,no,1
389,807,no,1
390,398,no,1
391,7,no,1
392,250,no,1
393,251,no,1
394,99,no,1
395,763,no,1
396,257,no,1
397,254,no,1
398,224,no,1
399,99,no,1
400,97,no,1
401,219,no,1
402,10,no,1
403,249,no,1
404,249,no,1
405,57,no,1
406,96,no,1
407,122,no,1
408,124,no,1
409,197,no,1
410,401,no,1
413,260,no,1
414,78,no,1
415,209,no,1
417,88,no,1
418,221,no,1
421,74,no,1
422,93,no,1
424,69,no,1
425,60,no,1
426,238,no,1
429,200,no,1
432,407,no,1
433,239,no,1
434,203,no,1
437,260,no,1
438,91,no,1
441,201,no,1
442,88,no,1
444,68,no,1
445,9,no,1
449,245,no,1
452,401,no,1
453,226,no,1
454,785,no,1
457,220,no,1
458,203,no,1
462,199,no,1
463,225,no,1
464,406,no,1
466,88,no,1
467,10,no,1
468,407,no,1
469,69,no,1
470,407,no,1
471,257,no,1
472,226,no,1
473,240,no,1
474,93,no,1
475,587,no,1
476,198,no,1
477,406,no,1
478,64,no,1
479,67,no,1
480,35,no,1
481,237,no,1
482,60,no,1
483,239,no,1
484,245,no,1
485,15,no,1
486,226,no,1
487,265,no,1
488,203,no,1
489,202,no,1
490,466,no,1
491,91,no,1
492,367,no,1
493,87,no,1
494,9,no,1
495,57,no,1
496,812,no,1
497,251,no,1
498,217,no,1
499,401,no,1
500,245,no,1
501,225,no,1
502,227,no,1
503,30,no,1
504,202,no,1
505,385,no,1
506,762,no,1
507,127,no,1
508,407,no,1
509,245,no,1
510,260,no,1
511,259,no,1
512,24,no,1
513,93,no,1
514,65,no,1
515,470,no,1
516,6,no,1
517,1032,no,1
518,265,no,1
519,50,no,1
520,217,no,1
521,17,no,1
522,225,no,1
523,228,no,1
524,10,no,1
525,202,no,1
526,59,no,1
527,30,no,1
528,385,no,1
529,51,no,1
530,815,no,1
531,283,no,1
532,53,no,1
533,245,no,1
534,240,no,1
535,94,no,1
536,91,no,1
537,68,no,1
538,60,no,1
539,15,no,1
540,123,no,1
541,70,no,1
