kind	path	sha256	bytes
package_gfx_handoff.md	docs/assets/014_cannibalism/static_icons_imagegen/closure_2026-07-12/gfx_handoff.md	756d2102da307afff0497e8916a3401969b78fa95a334fd96fc41b58791c181e	3790
package_manifest.md	docs/assets/014_cannibalism/static_icons_imagegen/closure_2026-07-12/manifest.md	491d5278d7631f91e4b0911b0f20d6fef4a5e055ecadf2e1c13c63b021cc3ab3	12791
package_alpha_png	docs/assets/014_cannibalism/static_icons_imagegen/closure_2026-07-12/alpha_png/decision_cannibalism_activate_inherited_winter_cell_alpha.png	48c2e2b67ce23687f3f9b407114bacfb6a447093b11c2671ea7f54ab26267e9d	1548840
package_alpha_png	docs/assets/014_cannibalism/static_icons_imagegen/closure_2026-07-12/alpha_png/decision_cannibalism_break_network_mission_alpha.png	b78b3d4c1f7fce65bb98707c641809d342daf56044f0d6399e93e9900e23f937	1703937
package_alpha_png	docs/assets/014_cannibalism/static_icons_imagegen/closure_2026-07-12/alpha_png/decision_cannibalism_break_ritual_economy_alpha.png	f34582accd5a7e01df491469acb4ddf0e09bfede9905c2a1f07eb95938013372	1452958
package_alpha_png	docs/assets/014_cannibalism/static_icons_imagegen/closure_2026-07-12/alpha_png/decision_cannibalism_break_wendigo_terminal_hunt_alpha.png	7245b8132b774a7247227e24cd17cd11cec470636a0f2049c7805bbf3bb40a97	1795285
package_alpha_png	docs/assets/014_cannibalism/static_icons_imagegen/closure_2026-07-12/alpha_png/decision_cannibalism_hold_prison_mission_alpha.png	ee8cd4f75bafc032c04c38a6da22879039affe1747ab43e517fb7e5a7fdaa96b	2082916
package_alpha_png	docs/assets/014_cannibalism/static_icons_imagegen/closure_2026-07-12/alpha_png/decision_cannibalism_infiltrate_ritual_cell_alpha.png	240f4fdbf80ea44ad757f9d08623d152fa0153ecd2effc1b65c3c3b18b8238c4	1375519
package_alpha_png	docs/assets/014_cannibalism/static_icons_imagegen/closure_2026-07-12/alpha_png/decision_cannibalism_investigation_mission_alpha.png	ea9086f43d040d36636269fcb25679b3c71ded6f86a36c831a8f06369899fdf6	1661418
package_alpha_png	docs/assets/014_cannibalism/static_icons_imagegen/closure_2026-07-12/alpha_png/decision_cannibalism_liberate_feeding_state_alpha.png	62d1c2f04c25b1cdce8b236af6921b3c0bc6ea1bf572ab17c226bf0607fe48b8	2069645
package_alpha_png	docs/assets/014_cannibalism/static_icons_imagegen/closure_2026-07-12/alpha_png/decision_cannibalism_muster_wendigo_pack_from_enemy_death_receipt_alpha.png	e8a5ec032192778213e7a2874b40fcf0ca0ad0583f6dcabedbb72d8e321e9042	1415521
package_alpha_png	docs/assets/014_cannibalism/static_icons_imagegen/closure_2026-07-12/alpha_png/decision_cannibalism_prepare_network_resistance_alpha.png	79c54c44568f034dee179c1b90fcc3dfcd0dd9e0540b083aad067ccafa94d7e5	1239033
package_alpha_png	docs/assets/014_cannibalism/static_icons_imagegen/closure_2026-07-12/alpha_png/decision_cannibalism_prepare_network_submission_alpha.png	eb83f5f9f394e8012413188318afee952b5f6cb712e02f37bb8db3d5f3e0b261	1509573
