source_kind,filename,relative_or_absolute_path,bytes,sha256,read_status
provided_project_source,AGENTS(7).md,/mnt/data/AGENTS(7).md,38674,6a98c2676c0130bc78e843eb7cf485fd86f04696c03a9225034f2008f3915704,fully_read
provided_project_source,CHAOS_REDUX_MECHANICS(7).md,/mnt/data/CHAOS_REDUX_MECHANICS(7).md,57858,615d1293862582fc458acf6440e2d2f7dd738793fc0f11aac6c5c471528cdfc4,fully_read
provided_project_source,chaos-redux-3d-model-pipeline(3).md,/mnt/data/chaos-redux-3d-model-pipeline(3).md,43678,5ac9915cf30fbde15687eb9c30ca8b8be0d24a5801b72019efceb5766b5f6296,fully_read
provided_project_source,chaos-redux-comfyui(2).md,/mnt/data/chaos-redux-comfyui(2).md,2123,128acd133fedc56b14612eed163de11d7261dac887f11eacf4c8b695dae97fa0,fully_read
provided_project_source,chaos-redux-debug-playtest(2).md,/mnt/data/chaos-redux-debug-playtest(2).md,30145,ec9d66e433e9d964a2561844aa45281342842b973e059a09fab18f2107283a43,fully_read
provided_project_source,chaos-redux-decisions-missions(3).md,/mnt/data/chaos-redux-decisions-missions(3).md,72964,8bf185927863c2da3781aabc31f4df6a373d30a8c497bc21121cd4c3c3cbdbc4,fully_read
provided_project_source,chaos-redux-event-assets(7).md,/mnt/data/chaos-redux-event-assets(7).md,111377,5c73bdf087be2ca087aab8e856c14c4d60f473c57c8ec3878e155eabf42a2fdd,fully_read
provided_project_source,chaos-redux-event-planning(20260813-152954).md,/mnt/data/chaos-redux-event-planning(20260813-152954).md,174584,1f8108878ed76d5dc4fd649e69208f0912924acf9351f5dde2cefa7f3c494886,fully_read
provided_project_source,chaos-redux-events(8).md,/mnt/data/chaos-redux-events(8).md,67981,fbbc00b27aeefa915ec6f5a032a08fbbc076146855f68922609cfe7652e57c0f,fully_read
provided_project_source,chaos-redux-focus-trees(3).md,/mnt/data/chaos-redux-focus-trees(3).md,98154,51f741f8abde30c7772be46072fa4530361dcf4fc348da97b69c86206761789b,fully_read
provided_project_source,chaos-redux-frame-animation(8).md,/mnt/data/chaos-redux-frame-animation(8).md,25386,71b9b82c067fb6162d52eff233d8e60f49ece8c6fdec043c5e1de8127b7b769d,fully_read
provided_project_source,chaos-redux-improvement-loop(8).md,/mnt/data/chaos-redux-improvement-loop(8).md,27425,fdd2f3526a0fb4d051dd135a403de99dc402f5df82788c01eedabe44156f96f9,fully_read
provided_project_source,chaos-redux-subagents(8).md,/mnt/data/chaos-redux-subagents(8).md,32913,7062f5a36f9dd7f7844b38374a3339308799441380c6d48d3250c8e989204bb7,fully_read
provided_project_source,chaos-redux-super-events(7).md,/mnt/data/chaos-redux-super-events(7).md,33028,d7afffcf25b70333fd50aaef1f72378c1c270b8057269597f085c96204e01607,fully_read
provided_project_source,chaos_redux_clusters_catalog(3).csv,/mnt/data/chaos_redux_clusters_catalog(3).csv,2586,0bdd2e73f4c556af5fbdb028a2bbae258ef4d3402450d4bb112a63644047d299,fully_read
provided_project_source,chaos_redux_events_catalog(3).csv,/mnt/data/chaos_redux_events_catalog(3).csv,55685,c5c29bc03092fe12d0a44381d59c5865f085c0bc3759240b6d2f151cd21fc6db,fully_read
provided_project_source,chaos_redux_scenarios_catalog(3).csv,/mnt/data/chaos_redux_scenarios_catalog(3).csv,10807,66ea4a5802862c1c72f0f3e8ead04cb4f1bfde5e62f88411e3b29f64cb5cf760,fully_read
provided_project_source,chaosx_dynamic_effects.md,/mnt/data/chaosx_dynamic_effects.md,31440,c44d28801253892b9d141097ba31c0705a3f5b07da46ac163be66998b58f11b7,fully_read
provided_project_source,chaosx_dynamic_triggers.md,/mnt/data/chaosx_dynamic_triggers.md,4690,08142b36d735c9994daca01a1fce8296998c530fab8d3e2fd4ffdf4a45a26a37,fully_read
provided_project_source,config.toml,/mnt/data/config.toml,10887,8579f09a550ad451e56e6bee51fa39eb559f67849a9c6249c66ef37f8c67c139,fully_read
provided_project_source,subagents.zip,/mnt/data/subagents.zip,56708,6e6f029b37107cc9ab5a27e8b2e874980cc3ab3e515ea1022de0a930b4bcd05f,fully_read
extracted_subagent_definition,chaosx_3d_model_pipeline.toml,/mnt/data/subagents_extracted/chaosx_3d_model_pipeline.toml,19388,7c2352911569cc0c1131b1679e5b6665e8c2b314edc42d05089a19fc813b9c0b,fully_read
extracted_subagent_definition,chaosx_ai_probability_auditor.toml,/mnt/data/subagents_extracted/chaosx_ai_probability_auditor.toml,6348,20336a1ec04210d7f468e364fa48ca59427a5fa1292e8765af9eb746a73e6856,fully_read
extracted_subagent_definition,chaosx_asset_source_researcher.toml,/mnt/data/subagents_extracted/chaosx_asset_source_researcher.toml,3017,4db7e102822821201eb80055d45ad89272de7cdc4c6c695953d45854bd0e8df6,fully_read
extracted_subagent_definition,chaosx_country_package_auditor.toml,/mnt/data/subagents_extracted/chaosx_country_package_auditor.toml,7965,b140694067beb96d77ab31f6bf1eaa595eff02cf6ae83ce33e50e7ef2bedece4,fully_read
extracted_subagent_definition,chaosx_decision_mission_auditor.toml,/mnt/data/subagents_extracted/chaosx_decision_mission_auditor.toml,5713,0283283ae968c573d3ac0ee45bf654a4c15fd86bbc70b0592f9063b2503f8a16,fully_read
extracted_subagent_definition,chaosx_documentation_curator.toml,/mnt/data/subagents_extracted/chaosx_documentation_curator.toml,10140,8aea5aad0f4c5350013377041e57029d3cd296774a6713977f2e34cccf533885,fully_read
extracted_subagent_definition,chaosx_event_completion_auditor.toml,/mnt/data/subagents_extracted/chaosx_event_completion_auditor.toml,4118,fadb00b2634b66d3c150cdd872a3d4307d2e725811d00684c467d8057978a757,fully_read
extracted_subagent_definition,chaosx_event_ui_worker.toml,/mnt/data/subagents_extracted/chaosx_event_ui_worker.toml,8145,3f08c4655ad7da66d897de6301804d649f223215193f3e09d52c42a6a54256b9,fully_read
