kind,family,stage,consumer_id,sprite_name,runtime_path,target_size,status
decision_icon,computational_mathematics,theory,brilliant_scientist_advance_computation_theory,GFX_decision_brilliant_scientist_project_computational_mathematics_theory,gfx/interface/decisions/016_brilliant_scientist/projects/computational_mathematics_theory.dds,32x32,complete
decision_icon,computational_mathematics,prototype,brilliant_scientist_integrate_computation_prototype,GFX_decision_brilliant_scientist_project_computational_mathematics_prototype,gfx/interface/decisions/016_brilliant_scientist/projects/computational_mathematics_prototype.dds,32x32,complete
decision_icon,computational_mathematics,deployment,brilliant_scientist_advance_computation_deployment,GFX_decision_brilliant_scientist_project_computational_mathematics_deployment,gfx/interface/decisions/016_brilliant_scientist/projects/computational_mathematics_deployment.dds,32x32,complete
decision_icon,computational_mathematics,weaponization,brilliant_scientist_advance_computation_weaponization,GFX_decision_brilliant_scientist_project_computational_mathematics_weaponization,gfx/interface/decisions/016_brilliant_scientist/projects/computational_mathematics_weaponization.dds,32x32,complete
decision_icon,electronics_guidance,theory,brilliant_scientist_advance_electronics_theory,GFX_decision_brilliant_scientist_project_electronics_guidance_theory,gfx/interface/decisions/016_brilliant_scientist/projects/electronics_guidance_theory.dds,32x32,complete
decision_icon,electronics_guidance,prototype,brilliant_scientist_integrate_electronics_prototype,GFX_decision_brilliant_scientist_project_electronics_guidance_prototype,gfx/interface/decisions/016_brilliant_scientist/projects/electronics_guidance_prototype.dds,32x32,complete
decision_icon,electronics_guidance,deployment,brilliant_scientist_advance_electronics_deployment,GFX_decision_brilliant_scientist_project_electronics_guidance_deployment,gfx/interface/decisions/016_brilliant_scientist/projects/electronics_guidance_deployment.dds,32x32,complete
decision_icon,electronics_guidance,weaponization,brilliant_scientist_advance_electronics_weaponization,GFX_decision_brilliant_scientist_project_electronics_guidance_weaponization,gfx/interface/decisions/016_brilliant_scientist/projects/electronics_guidance_weaponization.dds,32x32,complete
decision_icon,advanced_materials,theory,brilliant_scientist_advance_materials_theory,GFX_decision_brilliant_scientist_project_advanced_materials_theory,gfx/interface/decisions/016_brilliant_scientist/projects/advanced_materials_theory.dds,32x32,complete
decision_icon,advanced_materials,prototype,brilliant_scientist_integrate_materials_prototype,GFX_decision_brilliant_scientist_project_advanced_materials_prototype,gfx/interface/decisions/016_brilliant_scientist/projects/advanced_materials_prototype.dds,32x32,complete
decision_icon,advanced_materials,deployment,brilliant_scientist_advance_materials_deployment,GFX_decision_brilliant_scientist_project_advanced_materials_deployment,gfx/interface/decisions/016_brilliant_scientist/projects/advanced_materials_deployment.dds,32x32,complete
decision_icon,advanced_materials,weaponization,brilliant_scientist_advance_materials_weaponization,GFX_decision_brilliant_scientist_project_advanced_materials_weaponization,gfx/interface/decisions/016_brilliant_scientist/projects/advanced_materials_weaponization.dds,32x32,complete
decision_icon,rocketry_propulsion,theory,brilliant_scientist_advance_rocketry_theory,GFX_decision_brilliant_scientist_project_rocketry_propulsion_theory,gfx/interface/decisions/016_brilliant_scientist/projects/rocketry_propulsion_theory.dds,32x32,complete
decision_icon,rocketry_propulsion,prototype,brilliant_scientist_integrate_rocketry_prototype,GFX_decision_brilliant_scientist_project_rocketry_propulsion_prototype,gfx/interface/decisions/016_brilliant_scientist/projects/rocketry_propulsion_prototype.dds,32x32,complete
decision_icon,rocketry_propulsion,deployment,brilliant_scientist_advance_rocketry_deployment,GFX_decision_brilliant_scientist_project_rocketry_propulsion_deployment,gfx/interface/decisions/016_brilliant_scientist/projects/rocketry_propulsion_deployment.dds,32x32,complete
decision_icon,rocketry_propulsion,weaponization,brilliant_scientist_advance_rocketry_weaponization,GFX_decision_brilliant_scientist_project_rocketry_propulsion_weaponization,gfx/interface/decisions/016_brilliant_scientist/projects/rocketry_propulsion_weaponization.dds,32x32,complete
decision_icon,high_energy_physics,theory,brilliant_scientist_advance_high_energy_theory,GFX_decision_brilliant_scientist_project_high_energy_physics_theory,gfx/interface/decisions/016_brilliant_scientist/projects/high_energy_physics_theory.dds,32x32,complete
decision_icon,high_energy_physics,prototype,brilliant_scientist_integrate_high_energy_prototype,GFX_decision_brilliant_scientist_project_high_energy_physics_prototype,gfx/interface/decisions/016_brilliant_scientist/projects/high_energy_physics_prototype.dds,32x32,complete
decision_icon,high_energy_physics,deployment,brilliant_scientist_advance_high_energy_deployment,GFX_decision_brilliant_scientist_project_high_energy_physics_deployment,gfx/interface/decisions/016_brilliant_scientist/projects/high_energy_physics_deployment.dds,32x32,complete
decision_icon,high_energy_physics,weaponization,brilliant_scientist_advance_high_energy_weaponization,GFX_decision_brilliant_scientist_project_high_energy_physics_weaponization,gfx/interface/decisions/016_brilliant_scientist/projects/high_energy_physics_weaponization.dds,32x32,complete
decision_icon,biomedical_acceleration,theory,brilliant_scientist_advance_biomedical_theory,GFX_decision_brilliant_scientist_project_biomedical_acceleration_theory,gfx/interface/decisions/016_brilliant_scientist/projects/biomedical_acceleration_theory.dds,32x32,complete
decision_icon,biomedical_acceleration,prototype,brilliant_scientist_integrate_biomedical_prototype,GFX_decision_brilliant_scientist_project_biomedical_acceleration_prototype,gfx/interface/decisions/016_brilliant_scientist/projects/biomedical_acceleration_prototype.dds,32x32,complete
