runtime_alias	sprite	runtime_path	sha256	dimensions	size_bytes	state
leader_CBA_warlord_middle_east	GFX_portrait_CBA_warlord_middle_east	gfx/leaders/014_cannibalism/leader_CBA_warlord_middle_east.dds	c6c8b35972fd90c40a87b3260064094e429c8c3aa4f6a8d8ec807b7f3098f5fb	156x210	131168	source_placeholder/direct_source_2d
leader_CBA_warlord_south_america	GFX_portrait_CBA_warlord_south_america	gfx/leaders/014_cannibalism/leader_CBA_warlord_south_america.dds	de435c5d9e05b1742348fb476903ade185f71870c30f9eaee097a063ab8d255d	156x210	131168	source_placeholder/direct_source_2d
leader_CBB_warlord_middle_east	GFX_portrait_CBB_warlord_middle_east	gfx/leaders/014_cannibalism/leader_CBB_warlord_middle_east.dds	b7d084dcdac9f75ce9b85b751d238a170d7a4d0e18837c89c5a83dfbc967d795	156x210	131168	source_placeholder/direct_source_2d
leader_CBC_warlord_south_america	GFX_portrait_CBC_warlord_south_america	gfx/leaders/014_cannibalism/leader_CBC_warlord_south_america.dds	0982e8e559932f3c591f86d4b5529bcf5734502015eb9fa3f562db3ff2f82b9c	156x210	131168	source_placeholder/direct_source_2d
leader_CBC_warlord	GFX_portrait_CBC_warlord	gfx/leaders/014_cannibalism/leader_CBC_warlord.dds	48e341f4cef25e001443d1f1f03a5b61ea4b22e2a99cf580eef7dfe4b6b86dd1	156x210	131168	source_placeholder/direct_source_2d
leader_CBD_warlord_north_america	GFX_portrait_CBD_warlord_north_america	gfx/leaders/014_cannibalism/leader_CBD_warlord_north_america.dds	de5f1724a8552ea514807dd625ac6d2a2a08d0f4fb374e9de29dded305da3ab5	156x210	131168	source_placeholder/direct_source_2d
leader_CBD_warlord_south_america	GFX_portrait_CBD_warlord_south_america	gfx/leaders/014_cannibalism/leader_CBD_warlord_south_america.dds	1da0c1cb9af5101506d0c2e40c5a6d154d5e61def98e0dcbfd0c40b9c5cd2a07	156x210	131168	source_placeholder/direct_source_2d
leader_CBE_warlord_north_america	GFX_portrait_CBE_warlord_north_america	gfx/leaders/014_cannibalism/leader_CBE_warlord_north_america.dds	19ac68a8bbe2c4575fd598cbfc13ecaae03c9cea9bff2fa8a3972e80c1e29099	156x210	131168	source_placeholder/direct_source_2d
leader_CBE_warlord_south_america	GFX_portrait_CBE_warlord_south_america	gfx/leaders/014_cannibalism/leader_CBE_warlord_south_america.dds	9116b2e0b49f1b57f8e41e6faab1429e141ab8d2d33638e1f9069be8c65b37c4	156x210	131168	source_placeholder/direct_source_2d
leader_CBE_warlord	GFX_portrait_CBE_warlord	gfx/leaders/014_cannibalism/leader_CBE_warlord.dds	ad551fc190b873d93fbe9fe17907d285d6c3dac5722cdea7ead96370ed190c10	156x210	131168	source_placeholder/direct_source_2d
leader_CBF_warlord_africa	GFX_portrait_CBF_warlord_africa	gfx/leaders/014_cannibalism/leader_CBF_warlord_africa.dds	a36bc1fd5d2b8334d996139fbde75ceec6d221ff2337b652f1f4bc0edc9a2a07	156x210	131168	source_placeholder/direct_source_2d
leader_CBF_warlord_oceania	GFX_portrait_CBF_warlord_oceania	gfx/leaders/014_cannibalism/leader_CBF_warlord_oceania.dds	0160a0463e044a110e763ba590d71c66990bb0485cdaf9991c708f84f3a85c1a	156x210	131168	source_placeholder/direct_source_2d
leader_CBF_warlord	GFX_portrait_CBF_warlord	gfx/leaders/014_cannibalism/leader_CBF_warlord.dds	0e2fabef510fe103453e69ddb4f1b8e5fd66f7871d7ff60d6d63eec6e4923970	156x210	131168	source_placeholder/direct_source_2d
leader_CBH_warlord_north_america	GFX_portrait_CBH_warlord_north_america	gfx/leaders/014_cannibalism/leader_CBH_warlord_north_america.dds	aff4159b8faf950b25404e6ed81c1040117e33f1cb309cd107e27309de6fc3f1	156x210	131168	source_placeholder/direct_source_2d
leader_CBH_warlord_south_america	GFX_portrait_CBH_warlord_south_america	gfx/leaders/014_cannibalism/leader_CBH_warlord_south_america.dds	e5f8643a9a2bf85ddbca4955752327e2c5f754232c7cccee3329eb65303669da	156x210	131168	source_placeholder/direct_source_2d
leader_CBH_warlord	GFX_portrait_CBH_warlord	gfx/leaders/014_cannibalism/leader_CBH_warlord.dds	2e7401457a4c9e3df428a85c392137f623bd6ad56864783adf0104cf58e71896	156x210	131168	source_placeholder/direct_source_2d
